,color,hex
158,rich blue,#021bf9
159,dirty purple,#734a65
160,greenblue,#23c48b
161,icky green,#8fae22
162,light khaki,#e6f2a2
163,warm blue,#4b57db
164,dark hot pink,#d90166
165,deep sea blue,#015482
166,carmine,#e62e6b
167,dark yellow green,#728f02
168,pale peach,#ffe5ad
169,plum purple,#4e0550
170,golden rod,#f9bc08
171,neon red,#ff073a
172,old pink,#c77986
173,very pale blue,#d6fffe
174,blood orange,#fe4b03
175,grapefruit,#fd5956
176,sand yellow,#fce166
177,clay brown,#b2713d
178,dark blue grey,#1f3b4d
179,flat green,#699d4c
180,light green blue,#56fca2
181,warm pink,#fb5581
182,dodger blue,#1e90ff
183,gross green,#a0bf16
184,ice,#d6fffa
185,metallic blue,#4f738e
186,pale salmon,#ffb19a
187,sap green,#507d2a
188,algae,#54ac68
189,bluey grey,#89a0b0
190,greeny grey,#7ea07a
191,highlighter green,#1bfc06
192,light light blue,#cafffb
193,light mint,#b6ffbb
194,raw umber,#826644
195,vivid blue,#152eff
196,deep lavender,#8d5eb7
197,dull teal,#5f9e8f
198,light greenish blue,#63f7b4
199,mud green,#606602
200,pinky,#fc86aa
201,red wine,#8c0034
202,shit green,#758000
203,tan brown,#ab7e4c
204,darkblue,#030764
205,rosa,#fe86a4
206,lipstick,#d5174e
207,pale mauve,#fed0fc
208,claret,#7f1734
209,dandelion,#fed85d
210,orangered,#fe420f
211,poop green,#6f7c00
212,ruby,#e0115f
213,dark,#1b2431
214,greenish turquoise,#00fbb0
215,pastel red,#db5856
216,piss yellow,#ddd618
217,bright cyan,#41fdfe
218,dark coral,#cf524e
219,algae green,#21c36f
220,darkish red,#a90308
221,reddy brown,#6e1005
222,blush pink,#fe828c
223,camouflage green,#4b6113
224,lawn green,#7cfc00
225,putty,#beae8a
226,vibrant blue,#0339f8
227,dark sand,#a88f59
228,purple/blue,#5d21d0
229,saffron,#f4c430
230,twilight,#4e518b
231,warm brown,#964e02
232,bluegrey,#85a3b2
233,bubble gum pink,#ff69af
234,duck egg blue,#c3fbf4
235,greenish cyan,#2afeb7
236,petrol,#005f6a
237,royal,#0c1793
238,butter,#ffff81
239,dusty orange,#f0833a
240,off yellow,#f1f33f
241,pale olive green,#b1d27b
242,orangish,#fc824a
243,leaf,#71aa34
244,light blue grey,#b7c9e2
245,dried blood,#4b0101
246,lightish purple,#a552e6
247,rusty red,#da2c43
248,lavender blue,#ccccff
249,light grass green,#9af764
250,light mint green,#a6fbb2
251,sunflower,#ffc512
252,velvet,#750851
253,brick orange,#c14a09
254,lightish red,#fe2f4a
255,pure blue,#0203e2
256,twilight blue,#0a437a
257,violet red,#f75394
258,yellowy brown,#ae8b0c
259,carnation,#fd798f
260,muddy yellow,#bfac05
261,dark seafoam green,#3eaf76
262,deep rose,#c74767
263,dusty red,#b9484e
264,grey/blue,#647d8e
265,lemon lime,#bffe28
266,purple/pink,#d725de
267,brown yellow,#b29705
268,purple brown,#673a3f
269,wisteria,#c9a0dc
270,banana yellow,#fafe4b
271,lipstick red,#c0022f
272,water blue,#0e87cc
273,brown grey,#8d8468
274,vibrant purple,#ad03de
275,baby green,#8cff9e
276,barf green,#94ac02
277,eggshell blue,#c4fff7
278,sandy yellow,#fdee73
279,cool green,#33b864
280,pale,#fff9d0
281,blue/grey,#758da3
282,hot magenta,#ff1dce
283,greyblue,#77a1b5
284,purpley,#8756e4
285,baby shit green,#889717
286,brownish pink,#c27e79
287,dark aquamarine,#017371
288,diarrhea,#9f8303
289,light mustard,#f7d560
290,pale sky blue,#bdf6fe
291,turtle green,#8a9a5b
292,bright olive,#9cbb04
293,dark grey blue,#29465b
294,greeny brown,#696006
295,lemon green,#adf802
296,light periwinkle,#c5cbe1
297,seaweed green,#35ad6b
298,sunshine yellow,#fffd37
299,ugly purple,#a442a0
300,medium pink,#f36196
301,puke brown,#947706
302,very light pink,#fff4f2
303,viridian,#40826d
304,bile,#b5c306
305,faded yellow,#feff7f
306,very pale green,#cffdbc
307,vibrant green,#0add08
308,bright lime,#87fd05
309,spearmint,#1ef876
310,light aquamarine,#7bfdc7
311,light sage,#bcecac
312,yellowgreen,#bbf90f
313,baby poo,#ab9004
314,dark seafoam,#1fb57a
315,deep teal,#00555a
316,heather,#a484ac
317,rust orange,#c45508
318,dirty blue,#3f829d
319,fern green,#4f7942
320,bright lilac,#d891ef
321,weird green,#3ae57f
322,peacock blue,#016795
323,avocado green,#87a922
324,faded orange,#f0944d
325,grape purple,#5d1451
326,hot green,#25ff29
327,lime yellow,#d0fe1d
328,mango,#fdbe02
329,shamrock,#33cc99
330,bubblegum,#ff6cb5
331,purplish brown,#6b4247
332,vomit yellow,#c7c10c
333,pale cyan,#b7fffa
334,key lime,#e8f48c
335,tomato red,#ec2d01
336,lightgreen,#76ff7b
337,merlot,#730039
338,night blue,#040348
339,purpleish pink,#df4ec8
340,apple,#6ecb3c
341,baby poop green,#8f9805
342,green apple,#5edc1f
343,heliotrope,#df73ff
344,yellow/green,#c8fd3d
345,almost black,#070d0d
