,color,hex
1068,chalcanthous,#000000
1069,atramentitious,#000000
1070,inkish,#000000
1071,atramentaceous,#000000
1072,atramentarious,#000000
1073,black as pitch,#000000
1074,pitchy,#000000
1075,pitch black,#000000
1076,pitch coloured,#000000
1077,pitchy black,#000000
1078,piceous,#000000
1079,picescent,#000000
1080,sooty,#000000
1081,fuliginated,#000000
1082,fuliginous,#000000
1083,pit black,#000000
1084,bible black,#000000
1085,fusco piceous,#000000
1086,brownish black,#654321
1087,brown black,#654321
1088,pukish,#191970
1089,blue black,#191970
1090,sloe black,#191970
1091,black rimmed,#191970
1092,blacked edged,#191970
1093,black bordered,#191970
1094,smutting,#000000
1095,blackening,#000000
1096,nigricanting,#000000
1097,forswarted,#000000
1098,bletchy,#000000
1099,blackened,#000000
1100,well blacked,#000000
1101,collied,#000000
1102,blacked,#000000
1103,lamp blacked,#000000
1104,corked,#000000
1105,burnt corked,#000000
1106,sootied,#000000
1107,fire swart,#000000
1108,charred,#000000
1109,blackleaded,#000000
1110,plumbagoed,#000000
1111,unblacked,#000000
1112,reod,#ff0000
1113,ruddy,#ff0000
1114,reddy,#ff0000
1115,redly,#ff0000
1116,gules,#ff0000
1117,red coloured,#ff0000
1118,guly,#ff0000
1119,blushing,#ff0000
1120,rubric,#ff0000
1121,nacarine,#ff0000
1122,minious,#ff0000
1123,rubriform,#ff0000
1124,carbuncly,#ff0000
1125,blushful,#ff0000
1126,envermeiled,#ff0000
1127,ablush,#ff0000
1128,flammulated,#ff0000
1129,rubrical,#ff0000
1130,redward,#ff0000
1131,rubicund,#ff0000
1132,ruddish,#ff0000
1133,ruddyish,#ff0000
1134,rutilous,#ff0000
1135,flushy,#ff0000
1136,rubescent,#ff0000
1137,rufescent,#ff0000
1138,rufulous,#ff0000
1139,rufous,#a81c07
1140,inred,#ff0000
1141,foxy,#8b0000
1142,angered,#ff0000
1143,puniceous,#ff0000
1144,vermeil,#ff0000
1145,punic,#ff0000
1146,orient,#ff0000
1147,wax red,#ff0000
1148,punical,#ff0000
1149,coralline,#ff0000
1150,scarleted,#ff0000
1151,coccineous,#ff0000
1152,cinnabrian,#ff0000
1153,poppy coloured,#ff0000
1154,miniaceous,#ff0000
1155,phoeniceous,#ff0000
1156,cherry coloured,#ff0000
1157,coral red,#ff0000
1158,cherried,#ff0000
1159,punicean,#ff0000
1160,cinnabar,#e34234
1161,geraniumed,#ff0000
1162,miniatous,#ff0000
1163,vermilion coloured,#ff0000
1164,geranium coloured,#ff0000
1165,lobster red,#ff0000
1166,phoenicean,#ff0000
1167,cardinal,#c41e3a
1168,scarlet vermilion,#ff0000
1169,canellia red,#ff0000
1170,miniate,#ff0000
1171,nasturtium red,#ff0000
1172,sealing wax red,#ff0000
1173,bloody,#dc143c
1174,purpurine,#800080
1175,sanguine,#dc143c
1176,tuly,#dc143c
1177,murrey,#dc143c
1178,purpure,#800080
1179,sanguinolent,#dc143c
1180,cramoisy,#dc143c
1181,ruby red,#9b111e
1182,sanguineous,#dc143c
1183,sanguine coloured,#dc143c
1184,blood coloured,#dc143c
1185,rubied,#dc143c
1186,incarnadine,#dc143c
1187,tyrian,#dc143c
1188,rubious,#dc143c
1189,murrey coloured,#dc143c
1190,haematine,#dc143c
1191,vinaceous,#dc143c
1192,claret coloured,#dc143c
1193,ensanguined,#dc143c
1194,peony,#dc143c
1195,sanguinaceous,#dc143c
1196,gory,#dc143c
1197,crimsony,#dc143c
1198,vinous,#dc143c
1199,laky,#dc143c
1200,grenat,#dc143c
1201,madder,#dc143c
1202,wine dark,#dc143c
1203,poppy crimson,#dc143c
1204,alizarin,#dc143c
1205,rusty,#8b0000
1206,hepatic,#8b0000
1207,horse flesh,#8b0000
1208,rubiginous,#8b0000
1209,iron,#778899
1210,sand red,#8b0000
1211,ferruginous,#8b0000
1212,lateritious,#8b0000
1213,blood bay,#8b0000
1214,testaceous,#b22222
1215,rust coloured,#8b0000
1216,brick coloured,#8b0000
1217,rusted,#8b0000
1218,worm red,#8b0000
1219,rush,#8b0000
1220,brickdust like,#8b0000
1221,brickdusty,#8b0000
1222,chestnut red,#8b0000
1223,copper red,#cb6d51
1224,bricky,#8b0000
1225,brickish,#8b0000
1226,fox red,#8b0000
1227,oxblood,#800020
1228,tony,#8b0000
1229,mahogany red,#8b0000
1230,roan,#ffa07a
1231,sherry red,#ffa07a
1232,port winey,#ffa07a
1233,fire red,#ff4500
1234,flame red,#ff4500
1235,flammid,#ff4500
1236,flammeous,#ff4500
1237,pimento,#ff4500
1238,pimiento,#ff4500
1239,flame,#e25822
1240,rosen,#ffc0cb
1241,rosy,#ffc0cb
1242,roseate,#ffc0cb
1243,roset,#ffc0cb
1244,rosing,#ffc0cb
1245,rose coloured,#ffc0cb
1246,rose like,#ffc0cb
1247,roseal,#ffc0cb
1248,rosal,#ffc0cb
1249,rosy fingered,#ffc0cb
1250,red rose,#ffc0cb
1251,damask,#ffc0cb
1252,rosied,#ff0000
1253,damasked,#ffc0cb
1254,roseac,#ffc0cb
1255,rosaceous,#ffc0cb
1256,rose tinted,#ffc0cb
1257,blush rose,#ffc0cb
1258,incarnate,#ffc0cb
1259,fleshy,#ffc0cb
1260,incarnation,#ffc0cb
1261,pallet,#ffc0cb
1262,bepurfurate,#ffc0cb
1263,peachy,#ffc0cb
1264,peach coloured,#ffc0cb
1265,pink coloured,#ffc0cb
1266,blush coloured,#ffc0cb
1267,blushy,#ffc0cb
1268,gridelin,#dda0dd
1269,carnationed,#ff0000
1270,carneous,#ffc0cb
1271,peach blossom,#ffc0cb
1272,flesh coloured,#ffc0cb
1273,flesh colour,#ffc0cb
1274,mushroom coloured,#ffc0cb
1275,salmon coloured,#ffc0cb
1276,blush tinted,#ffc0cb
1277,flesh red,#ffc0cb
1278,naturelle,#ffc0cb
1279,flesh pink,#ffc0cb
1280,lilac pink,#ffc0cb
1281,nude,#ffc0cb
1282,magnolia pink,#ffc0cb
1283,salmony,#ffc0cb
1284,magnolia,#f8f4ff
1285,poppy pink,#ffc0cb
1286,raspberry red,#ff0000
1287,pomegranate,#ff0000
1288,framboise,#ff0000
1289,crushed raspberry,#ff0000
1290,pink washed,#ff0000
1291,rubent,#ff0000
1292,reddening,#ff0000
1293,erubescent,#ff0000
1294,rubifying,#ff0000
1295,rubificative,#ff0000
1296,rubific,#ff0000
1297,red making,#ff0000
1298,rubified,#ff0000
1299,reddened,#ff0000
1300,empurpled,#800080
1301,crimsoned,#ff0000
1302,ruddied,#ff0000
1303,incarnadined,#ff0000
1304,purpured,#800080
1305,in grain,#ff0000
1306,purpled,#800080
1307,engored,#ff0000
1308,encrimsoned,#ff0000
1309,vermeiled,#ff0000
1310,raddled,#ff0000
1311,ruddled,#ff0000
1312,vermilioned,#ff0000
1313,incrimsoned,#ff0000
1314,incarmined,#ff0000
1315,carmined,#ff0000
1316,rosed,#ff0000
1317,pinkified,#ff0000
1318,rubricate,#ff0000
1319,rubricated,#ff0000
1320,rubricked,#ff0000
1321,brazil,#ff0000
1322,pelagian,#ff0000
1323,verdant,#008000
1324,verdurant,#008000
1325,sinople,#008000
1326,vernant,#008000
1327,viricund,#008000
1328,virid,#008000
1329,virideous,#008000
1330,virent,#008000
1331,herbish,#008000
1332,watchet,#add8e6
1333,willowish,#008000
1334,greeny,#008000
1335,viridescent,#008000
1336,greensome,#008000
1337,greenery,#008000
1338,smaragdine,#3cb371
1339,emeraldine,#3cb371
1340,twig green,#3cb371
1341,steel green,#006400
1342,corbeau,#006400
1343,rifle green,#444c38
1344,spinach green,#006400
1345,malachite,#0bda51
1346,beryl,#90ee90
1347,water,#5f9ea0
1348,berylline,#90ee90
1349,chlorine,#90ee90
1350,peppermint,#90ee90
1351,reseda,#90ee90
1352,lily green,#90ee90
1353,pepperminty,#90ee90
1354,grassy,#7cfc00
1355,prasine,#3cb371
1356,leeky,#3cb371
1357,leekish,#3cb371
1358,porraceous,#3cb371
1359,leek green,#3cb371
1360,gaudy green,#9acd32
1361,gosling colour,#9acd32
1362,gosling green,#9acd32
1363,chrysoprase,#9acd32
1364,tilleul,#9acd32
1365,olive coloured,#bdb76b
1366,olivaceous,#9acd32
1367,olive greenish,#9acd32
1368,olivescent,#9acd32
1369,glaucy,#20b2aa
1370,wave green,#20b2aa
1371,aeruginous,#008000
1372,glaucous,#6082b6
1373,eruginary,#20b2aa
1374,verdazurine,#20b2aa
1375,caesious,#20b2aa
1376,verditer,#40e0d0
1377,verd asure,#20b2aa
1378,verdigrisy,#20b2aa
1379,glass,#20b2aa
1380,sage coloured,#20b2aa
1381,sage greeny,#20b2aa
1382,beech green,#008000
1383,viper green,#008000
1384,lettuce green,#008000
1385,kendal green,#008000
1386,lizard green,#008000
1387,greening,#008000
1388,virescent,#008000
1389,greenable,#008000
1390,chlorophyllous,#008000
1391,chlorophyllian,#008000
1392,chlorophyllaceous,#008000
1393,verdigris,#43b3ae
1394,blayk,#ffff00
1395,jaune,#ffff00
1396,flaw,#ffff00
1397,jaundiced,#ffff00
1398,flaxed,#ffff00
1399,flave,#ffff00
1400,flavous,#ffff00
1401,blake,#ffff00
1402,gambogian,#ffff00
1403,saffronish,#ffff00
1404,jaunish,#ffff00
1405,sanded,#ffff00
1406,saffrony,#ffff00
1407,yellowy,#ffff00
1408,sallow,#ffff00
1409,sallowish,#ffff00
1410,flavescent,#ffff00
1411,sandyish,#ffff00
1412,flavicant,#ffff00
1413,chromy,#ffff00
1414,sunnish,#ffff00
1415,sunny,#ffff00
1416,buttercup,#ffff00
1417,nasturtium yellow,#ffff00
1418,topazine,#ffd700
1419,topaz tinted,#ffd700
1420,topas coloured,#ffd700
1421,gull,#ffffe0
1422,palew,#ffffe0
1423,straw coloured,#ffffe0
1424,branlie,#ffffe0
1425,straw colour,#ffffe0
1426,flaxy,#ffffe0
1427,festucine,#ffffe0
1428,sulphureous,#ffffe0
1429,flaxenish,#ffffe0
1430,strawy,#ffffe0
1431,straw yellow,#ffffe0
1432,bomycinous,#ffffe0
1433,sulphur coloured,#ffffe0
1434,sherry yellow,#ffffe0
1435,sulphur yellow,#ffffe0
1436,bombasic,#ffffe0
1437,wax coloured,#ffffe0
1438,stramineous,#ffffe0
1439,maize coloured,#ffffe0
1440,daffodil,#ffffe0
1441,daw,#ffffe0
1442,flax,#eedc82
1443,sherry coloured,#ffffe0
1444,mastic,#ffffe0
1445,sulpho chromic,#ffffe0
1446,ochroid,#ffffe0
1447,wheat coloured,#ffffe0
1448,sulphurous,#ffffe0
1449,sulphury,#ffffe0
1450,tea rose,#f88379
1451,straw pale,#ffffe0
1452,subcitrine,#ffffe0
1453,citrine,#e4d00a
1454,citron coloured,#ffffe0
1455,primrose coloured,#ffffe0
1456,lemon coloured,#ffffe0
1457,primrose,#ffffe0
1458,citron hued,#ffffe0
1459,primrosy,#ffffe0
1460,citron,#9fa91f
1461,dory,#ffd700
1462,goldish,#ffd700
1463,goldly,#ffd700
1464,aureate,#ffd700
1465,goldy,#ffd700
1466,gilden,#ffd700
1467,scorn gold,#ffd700
1468,pactolian,#ffd700
1469,aureal,#ffd700
1470,gilded,#ffd700
1471,gold coloured,#ffd700
1472,spun gold,#ffd700
1473,aurulent,#ffd700
1474,aurelian,#ffd700
1475,deaurated,#ffd700
1476,tuscan,#fad6a5
1477,corn coloured,#ffd700
1478,aureoline,#ffd700
1479,tuscan coloured,#ffd700
1480,guinea gold,#ffd700
1481,spun golden,#ffd700
1482,brazen,#ffd700
1483,brassy,#ffd700
1484,aeneous,#ffd700
1485,brass coloured,#ffd700
1486,red yellow,#ffdab9
1487,red gold,#ffdab9
1488,saffron hued,#ffdab9
1489,saffron coloured,#ffdab9
1490,crocean,#ffdab9
1491,croceal,#ffdab9
1492,croceous,#ffdab9
1493,croceate,#ffdab9
1494,saffronic,#ffdab9
1495,fallow,#c19a6b
1496,favel,#ffdab9
1497,fulvid,#ffdab9
1498,fulve,#ffdab9
1499,fulvous,#e48400
1500,fallow coloured,#ffdab9
1501,flavid,#ffdab9
1502,fox coloured,#ffdab9
1503,fulvescent,#ffdab9
1504,meline,#f0e68c
1505,gangrenous,#f0e68c
1506,greenery yallery,#f0e68c
1507,ochry,#bdb76b
1508,sand coloured,#bdb76b
1509,shammy,#bdb76b
1510,buff coloured,#bdb76b
1511,ochreish,#bdb76b
1512,ochreous,#bdb76b
1513,ochraceous,#bdb76b
1514,buff colour,#bdb76b
1515,buffish,#bdb76b
1516,mustard coloured,#bdb76b
1517,nankeen,#bdb76b
1518,buffy,#bdb76b
1519,ochre coloured,#bdb76b
1520,mustardy,#bdb76b
1521,ochrous,#bdb76b
1522,buff yellow,#bdb76b
1523,buff washed,#bdb76b
1524,sahara,#daa520
1525,wheaten,#bdb76b
1526,pinkish yellow,#ffefd5
1527,champagne,#f7e7ce
1528,greyish yellow,#bdb76b
1529,vitelline,#ffa07a
1530,luteous,#ffa07a
1531,orange buff,#ffa07a
1532,honey yellow,#ffff00
1533,gamboge,#e49b0f
1534,honey gold,#ffff00
1535,lily yellow,#ffff00
1536,apple yellow,#ffff00
1537,butter coloured,#ffff00
1538,mimosa,#ffff00
1539,yellowing,#ffff00
1540,saffroned,#ffff00
1541,saffred,#ffff00
1542,yellowed,#ffff00
1543,xanthophyllic,#ffff00
1544,turner,#ffff00
1545,inde,#0000ff
1546,blae,#1e90ff
1547,glawke,#5f9ea0
1548,blusih,#0000ff
1549,azury,#0000ff
1550,bluey,#0000ff
1551,blue bleak,#0000ff
1552,sapphirine,#00ffff
1553,sapphire hued,#00ffff
1554,sapphire coloured,#00ffff
1555,sapphiric,#00ffff
1556,sapphire blue,#0067a5
1557,pirate blue,#00ffff
1558,blue brilliant,#00ffff
1559,blewebis,#00008b
1560,sloe blue,#00008b
1561,oxford blue,#002147
1562,coal blue,#00008b
1563,lead blue,#00008b
1564,azurine,#add8e6
1565,watchet coloured,#add8e6
1566,watercoloured,#add8e6
1567,eton blue,#96c8a2
1568,opal blue,#add8e6
1569,watchet hued,#add8e6
1570,azured,#0000ff
1571,sky colour,#87ceeb
1572,sky coloured,#87ceeb
1573,ceruleous,#87ceeb
1574,cerule,#87ceeb
1575,sky like,#87ceeb
1576,ceruleal,#87ceeb
1577,azurne,#87ceeb
1578,cerulous,#87ceeb
1579,lazure,#87ceeb
1580,skyey,#87ceeb
1581,azure blue,#87ceeb
1582,cerulescent,#87ceeb
1583,azurean,#87ceeb
1584,pavonaceous,#40e0d0
1585,peacock,#40e0d0
1586,plunket,#5f9ea0
1587,perse,#5f9ea0
1588,iron blue,#5f9ea0
1589,smoke blue,#5f9ea0
1590,gunpowder,#5f9ea0
1591,slaty blue,#5f9ea0
1592,silurian,#5f9ea0
1593,hyacinthine,#7b68ee
1594,violaceous,#7b68ee
1595,violacean,#7b68ee
1596,lilac blue,#7b68ee
1597,hyacinthian,#7b68ee
1598,hyacinth,#ff4500
1599,metallic,#4682b4
1600,chalybeous,#4682b4
1601,wan,#708090
1602,blo,#1e90ff
1603,haw,#1e90ff
1604,livid,#6699cc
1605,lividous,#1e90ff
1606,blue in the face,#1e90ff
1607,swart,#0000cd
1608,mourning,#0000ff
1609,beryl blue,#0000ff
1610,wedgwood,#0000ff
1611,scale blue,#0000ff
1612,whale blue,#0000ff
1613,ceruleated,#0000ff
1614,sapphired,#0000ff
1615,blue washed,#0000ff
1616,cerulific,#0000ff
1617,ultramarinish,#0000ff
1618,indigotic,#0000ff
1619,brown coloured,#a52a2a
1620,browny,#a52a2a
1621,brownish coloured,#a52a2a
1622,burnet,#a0522d
1623,fusk,#a0522d
1624,fusky,#a0522d
1625,chocolate coloured,#a0522d
1626,brunneous,#a0522d
1627,ustulate,#a0522d
1628,scorched,#a0522d
1629,fuscescent,#a0522d
1630,forest brown,#a0522d
1631,burnt coloured,#a0522d
1632,jacobean,#a0522d
1633,whited brown,#deb887
1634,whitey brown,#deb887
1635,coffee coloured,#deb887
1636,dust coloured,#deb887
1637,ochre brown,#deb887
1638,blonde,#deb887
1639,mousy,#deb887
1640,toast coloured,#deb887
1641,dun,#cd853f
1642,dunned,#cd853f
1643,dunny,#cd853f
1644,dunnish,#cd853f
1645,drab coloured,#cd853f
1646,sorrel,#b22222
1647,berry brown,#b22222
1648,sored,#b22222
1649,russetish,#b22222
1650,chelidonian,#b22222
1651,weaselled coloured,#b22222
1652,deer coloured,#b22222
1653,spadiceous,#b22222
1654,russeted,#b22222
1655,russety,#b22222
1656,fusco testaceous,#b22222
1657,mahogany brown,#b22222
1658,persimmon,#ec5800
1659,nut brown,#b22222
1660,chestnut coloured,#b22222
1661,hazeled,#b22222
1662,chestnut brown,#b22222
1663,castaneous,#b22222
1664,nutty brown,#b22222
1665,chestnutty,#b22222
1666,nutmeg,#b22222
1667,liver hued,#b22222
1668,liver coloured,#b22222
1669,liver,#674c47
1670,beveren,#b22222
1671,beaver hued,#b22222
1672,beaver coloured,#b22222
1673,musk colour,#b22222
1674,musk coloured,#b22222
1675,copper coloured,#b22222
1676,copperish,#b22222
1677,coppery,#b22222
1678,cupreous,#b22222
1679,copper brown,#b22222
1680,bayard,#b22222
1681,bay,#b22222
1682,bayed,#b22222
1683,bay coloured,#b22222
1684,bullace bay,#b22222
1685,bayish,#b22222
1686,bay brown,#b22222
1687,brown bay,#b22222
1688,honey coloured,#daa520
1689,cinnamon coloured,#daa520
1690,lurid,#daa520
1691,rhubarb,#daa520
1692,tomabac brown,#daa520
1693,sherry bay,#daa520
1694,khaki coloured,#daa520
1695,rhubarby,#daa520
1696,crotal,#daa520
1697,brown gold,#daa520
1698,safari,#daa520
1699,mud coloured,#696969
1700,smoke brown,#696969
1701,mud colour,#696969
1702,lead brown,#696969
1703,bluish brown,#bc8f8f
1704,damson brown,#bc8f8f
1705,lavender brown,#bc8f8f
1706,bronzine,#b8860b
1707,bronzy,#b8860b
1708,bronze golden,#b8860b
1709,wainscot,#a52a2a
1710,turd coloured,#a52a2a
1711,honey brown,#a52a2a
1712,snuff coloured,#a52a2a
1713,snuffy,#a52a2a
1714,moorit,#a52a2a
1715,umbery,#a52a2a
1716,sienna brown,#a52a2a
1717,oily brown,#a52a2a
1718,seal brown,#59260b
1719,tabac,#a52a2a
1720,glandaceous,#a52a2a
1721,cigar brown,#a52a2a
1722,bead brown,#a52a2a
1723,toffee brown,#a52a2a
1724,toffee,#a52a2a
1725,sludgy,#a52a2a
1726,browning,#a52a2a
1727,embrowning,#a52a2a
1728,umbered,#a52a2a
1729,well browned,#a52a2a
1730,embrowned,#a52a2a
1731,browned,#a52a2a
1732,adusted,#a52a2a
1733,sunburnt,#a52a2a
1734,staneraw,#a52a2a
1735,bistred,#a52a2a
1736,russeting,#a52a2a
1737,bronzing,#a52a2a
1738,bronzed,#a52a2a
1739,gris,#808080
1740,grizzle,#808080
1741,grison,#808080
1742,kennet colour,#808080
1743,grisy,#808080
1744,grizzly,#808080
1745,grisard,#808080
1746,grysande,#808080
1747,grizzlish,#808080
1748,slaty,#5f9ea0
1749,peppery,#808080
1750,sabelline,#a9a9a9
1751,shadow grey,#a9a9a9
1752,walnyed,#d3d3d3
1753,canvas,#d3d3d3
1754,hoar,#dcdcdc
1755,for hoar,#dcdcdc
1756,hoarsih,#dcdcdc
1757,hoary,#dcdcdc
1758,incanescent,#dcdcdc
1759,crane,#696969
1760,crane coloured,#696969
1761,crane feather,#696969
1762,ash colour,#696969
1763,subcineritious,#696969
1764,cinereous,#98817b
1765,cinereal,#696969
1766,smoky,#f5f5f5
1767,smoked,#f5f5f5
1768,smoke,#f5f5f5
1769,iron grey,#778899
1770,steely,#778899
1771,leaden,#708090
1772,leasih,#708090
1773,leady,#708090
1774,plumby,#708090
1775,plumbine,#708090
1776,leaden coloured,#708090
1777,lead coloured,#708090
1778,plumbean,#708090
1779,plumbeous,#708090
1780,lead grey,#708090
1781,leaden hued,#708090
1782,quaker coloured,#696969
1783,prison grey,#696969
1784,flinty,#696969
1785,pearl coloured,#fff5ee
1786,pearl shell,#fff5ee
1787,pearl,#fff5ee
1788,pearled,#fff5ee
1789,pearl hued,#fff5ee
1790,pearlish,#fff5ee
1791,pewter,#c0c0c0
1792,mouse coloured,#bdb76b
1793,mouse colour,#bdb76b
1794,mouse dun,#bdb76b
1795,putty coloured,#bdb76b
1796,beige coloured,#bdb76b
1797,greige,#bdb76b
1798,bice,#696969
1799,butter nut,#696969
1800,stone coloured,#696969
1801,ficelle coloured,#696969
1802,oatmeal,#696969
1803,moleskin coloured,#696969
1804,browny grey,#696969
1805,mole grey,#696969
1806,mole,#696969
1807,stony,#696969
1808,waterish,#5f9ea0
1809,blunket,#5f9ea0
1810,slate coloured,#5f9ea0
1811,griseous,#5f9ea0
1812,neutral,#5f9ea0
1813,schistous,#5f9ea0
1814,slatish,#5f9ea0
1815,comumbine,#e6e6fa
1816,columbe,#e6e6fa
1817,dove colour,#e6e6fa
1818,dove coloured,#e6e6fa
1819,lavender grey,#e6e6fa
1820,lilac grey,#e6e6fa
1821,dove,#e6e6fa
1822,pinko grey,#e6e6fa
1823,pearl grey,#fff5ee
1824,elephant,#808080
1825,desert grey,#808080
1826,greying,#808080
1827,purpurate,#800080
1828,purple coloured,#800080
1829,porphyrite,#800080
1830,purpurean,#800080
1831,blattean,#800080
1832,purpureal,#800080
1833,porphyrous,#800080
1834,babylonian,#800080
1835,jacinthinous,#8b008b
1836,damson,#8b008b
1837,lilac coloured,#dda0dd
1838,lilac tinted,#dda0dd
1839,lilaceous,#dda0dd
1840,lilacky,#dda0dd
1841,lilac purple,#dda0dd
1842,prune coloured,#ff00ff
1843,prune dark,#ff00ff
1844,puce coloured,#800000
1845,violet coloured,#8a2be2
1846,ianthine,#8a2be2
1847,amethystine,#8a2be2
1848,pansy purple,#78184a
1849,violety,#8a2be2
1850,violescent,#8a2be2
1851,violetish,#8a2be2
1852,pansy coloured,#8a2be2
1853,mulberry coloured,#800080
1854,plum coloured,#800080
1855,mauve colour,#800080
1856,mauve coloured,#800080
1857,amarantine,#800080
1858,mauvish,#800080
1859,pontifical,#800080
1860,plummy,#800080
1861,petunia,#800080
1862,palatinate,#800080
1863,empurpling,#800080
1864,meliboean,#800080
1865,oranged,#ffa500
1866,orange coloured,#ffa500
1867,orange tawny,#ffa500
1868,orangey,#ffa500
1869,flame coloured,#ff6347
1870,tangerine coloured,#ff8c00
1871,gingerish,#ffe4b5
1872,hennaed,#d2691e
1873,shadow,#8a795d
1874,absolute zero,#0048ba
1875,aero,#7cb9e8
1876,aero blue,#c9ffe5
1877,african violet,#b284be
1878,air superiority blue,#72a0c1
1879,alice blue,#f0f8ff
1880,alloy orange,#c46210
1881,almond,#efdecd
1882,amaranth,#e52b50
1883,amaranth pink,#f19cbb
1884,amaranth purple,#ab274f
1885,amaranth red,#d3212d
1886,amazon,#3b7a57
1887,android green,#a4c639
1888,antique brass,#cd9575
1889,antique bronze,#665d1e
1890,antique fuchsia,#915c83
1891,antique ruby,#841b2d
1892,antique white,#faebd7
1893,arctic lime,#d0ff14
1894,artichoke,#8f9779
1895,arylide yellow,#e9d66b
1896,ash gray,#b2beb5
1897,atomic tangerine,#ff9966
1898,aureolin,#fdee00
1899,baby blue eyes,#a1caf1
1900,baby powder,#fefefa
1901,baker miller pink,#ff91af
1902,banana mania,#fbe7b2
1903,barn red,#7c0a02
1904,beau blue,#bcd4e6
1905,beaver,#9f8170
1906,bedazzled blue,#2e5894
1907,big dip o’ruby,#9c2542
1908,bisque,#ffe4c4
1909,bistre,#3d2b1f
1910,bistre brown,#967117
1911,bitter lemon,#cae00d
1912,bitter lime,#bfff00
1913,bittersweet,#fe6f5e
1914,bittersweet shimmer,#bf4f51
1915,black bean,#3d0c02
1916,black chocolate,#1b1811
1917,black coffee,#3b2f2f
1918,black coral,#54626f
1919,black olive,#3b3c36
1920,black shadows,#bfafb2
1921,blanched almond,#ffebcd
1922,blast off bronze,#a57164
1923,bleu de france,#318ce7
1924,blizzard blue,#ace5ee
1925,blond,#faf0be
1926,blue bell,#a2a2d0
1927,blue gray,#c8c8cd
1928,blue jeans,#5dadec
1929,blue sapphire,#126180
1930,blue yonder,#5072a7
1931,bluetiful,#3c69e7
1932,bole,#79443b
1933,brandy,#87413f
1934,bright maroon,#c32148
1935,bright navy blue,#1974d2
1936,brilliant rose,#ff55a3
1937,brink pink,#fb607f
1938,brown sugar,#af6e4d
1939,brunswick green,#1b4d3e
1940,bud green,#7bb661
1941,burlywood,#deb887
1942,burnished brown,#a17a74
1943,byzantine,#bd33a4
1944,byzantium,#702963
1945,cadet,#536872
1946,cadet grey,#91a3b0
1947,cadmium green,#006b3c
1948,cadmium orange,#ed872d
1949,cadmium red,#e30022
1950,cadmium yellow,#fff600
1951,café au lait,#a67b5b
1952,café noir,#4b3621
1953,cambridge blue,#a3c1ad
1954,cameo pink,#efbbcc
1955,candy apple red,#ff0800
1956,capri,#00bfff
1957,caput mortuum,#592720
1958,caribbean green,#00cc99
1959,carnelian,#b31b1b
1960,carrot orange,#ed9121
1961,castleton green,#00563f
1962,catawba,#703642
1963,cedar chest,#c95a49
1964,celadon blue,#007ba7
1965,celadon green,#2f847c
1966,celeste,#b2ffff
1967,celestial blue,#7070cc
1968,celtic blue,#246bce
1969,cerulean frost,#6d9bc3
1970,cg blue,#007aa5
1971,cg red,#e03c31
1972,champagne pink,#f1ddcf
1973,charcoal gray,#736a62
1974,charleston green,#232b2b
1975,charm pink,#e68fac
1976,cherry blossom pink,#ffb7c5
1977,china pink,#de6fa1
1978,china rose,#a8516e
1979,chinese red,#aa381e
1980,chinese violet,#856088
1981,chinese yellow,#ffb200
1982,chrome yellow,#ffa700
1983,cinnamon satin,#cd607e
1984,cocoa brown,#d2691e
1985,columbia blue,#b9d9eb
1986,congo pink,#f88379
1987,copper penny,#ad6f69
1988,copper rose,#996666
1989,coquelicot,#ff3800
1990,cordovan,#893f45
1991,corn,#fbec5d
1992,cornsilk,#fff8dc
1993,cosmic cobalt,#2e2d88
1994,cosmic latte,#fff8e7
1995,cotton candy,#ffbcd9
1996,coyote brown,#81613c
1997,cultured,#f5f5f5
1998,cyber grape,#58427c
1999,cyber yellow,#ffd300
2000,cyclamen,#f56fa1
2001,dark blue gray,#666699
2002,dark byzantium,#5d3954
2003,dark cornflower blue,#26428b
2004,dark electric blue,#536878
2005,dark goldenrod,#b8860b
2006,dark jungle green,#1a2421
2007,dark lava,#483c32
2008,dark liver,#534b4f
2009,dark moss green,#4a5d23
2010,dark orchid,#9932cc
2011,dark sienna,#3c1414
2012,dark slate gray,#2f4f4f
2013,dark spring green,#177245
2014,dark venetian red,#b33b24
2015,dartmouth green,#00703c
2016,davy's grey,#555555
2017,deep cerise,#da3287
2018,deep champagne,#fad6a5
2019,deep chestnut,#b94e48
2020,deep jungle green,#004b49
2021,deep saffron,#ff9933
2022,deep space sparkle,#4a646c
2023,deep taupe,#7e5e60
2024,desert sand,#edc9af
2025,dim gray,#696969
2026,dogwood rose,#d71868
2027,duke blue,#00009c
2028,dutch white,#efdfbb
2029,earth yellow,#e1a95f
2030,ebony,#555d50
2031,eerie black,#1b1b1b
2032,egyptian blue,#1034a6
2033,electric indigo,#6f00ff
2034,electric violet,#8f00ff
2035,eminence,#6c3082
2036,english green,#1b4d3e
2037,english lavender,#b48395
2038,english red,#ab4b52
2039,english vermilion,#cc474b
2040,english vermillion,#cc474b
2041,english violet,#563c5c
2042,erin,#00ff40
2043,falu red,#801818
2044,fandango,#b53389
2045,fandango pink,#de5285
2046,fashion fuchsia,#f400a1
2047,feldgrau,#4d5d53
2048,field drab,#6c541e
2049,fiery rose,#ff5470
2050,fire opal,#e95c4b
2051,firebrick,#b22222
2052,flickr blue,#0063dc
2053,flickr pink,#fb0081
2054,flirt,#a2006d
2055,floral white,#fffaf0
